-15	5,14119E-19
-14,8	1,25822E-18
-14,6	3,04865E-18
-14,4	7,31334E-18
-14,2	1,73692E-17
-14	4,08415E-17
-13,8	9,50782E-17
-13,6	2,19138E-16
-13,4	5,00046E-16
-13,2	1,12969E-15
-13	2,52678E-15
-12,8	5,5954E-15
-12,6	1,22674E-14
-12,4	2,66275E-14
-12,2	5,72223E-14
-12	1,21747E-13
-11,8	2,56453E-13
-11,6	5,34827E-13
-11,4	1,10427E-12
-11,2	2,25734E-12
-11	4,56852E-12
-10,8	9,15398E-12
-10,6	1,81594E-11
-10,4	3,56657E-11
-10,2	6,93516E-11
-10	1,33512E-10
-9,8	2,54472E-10
-9,6	4,80193E-10
-9,4	8,97119E-10
-9,2	1,65936E-09
-9	3,03871E-09
-8,8	5,50928E-09
-8,6	9,88911E-09
-8,4	1,75742E-08
-8,2	3,09209E-08
-8	5,38625E-08
-7,8	9,28916E-08
-7,6	1,58608E-07
-7,4	2,6812E-07
-7,2	4,48736E-07
-7	7,43548E-07
-6,8	1,21979E-06
-6,6	1,98115E-06
-6,4	3,18572E-06
-6,2	5,07171E-06
-6	7,9939E-06
-5,8	1,24744E-05
-5,6	1,92725E-05
-5,4	2,9479E-05
-5,2	4,46421E-05
-5	6,69321E-05
-4,8	9,93529E-05
-4,6	0,00014601
-4,4	0,000212444
-4,2	0,000306029
-4	0,000436452
-3,8	0,000616266
-3,6	0,000861503
-3,4	0,001192346
-3,2	0,001633824
-3	0,002216486
-2,8	0,002977021
-2,6	0,003958729
-2,4	0,005211789
-2,2	0,006793207
-2	0,008766373
-1,8	0,011200104
-1,6	0,01416711
-1,4	0,017741794
-1,2	0,021997375
-1	0,027002329
-0,8	0,032816227
-0,6	0,039485089
-0,4	0,047036463
-0,2	0,055474481
-1,98175E-14	0,064775219
0,2	0,074882716
0,4	0,085706023
0,6	0,097117648
0,8	0,108953709
1	0,121016041
1,2	0,133076361
1,4	0,144882506
1,6	0,156166557
1,8	0,16665455
2	0,176077301
2,2	0,184181762
2,4	0,190742263
2,6	0,195570926
2,8	0,198526602
3	0,199521721
3,2	0,198526602
3,4	0,195570926
3,6	0,190742263
3,8	0,184181762
4	0,176077301
4,2	0,16665455
4,4	0,156166557
4,6	0,144882506
4,8	0,133076361
5	0,121016041
5,2	0,108953709
5,4	0,097117648
5,6	0,085706023
5,8	0,074882716
6	0,064775219
6,2	0,055474481
6,4	0,047036463
6,6	0,039485089
6,8	0,032816227
7	0,027002329
7,2	0,021997375
7,4	0,017741794
7,6	0,01416711
7,8	0,011200104
8	0,008766373
8,2	0,006793207
8,4	0,005211789
8,6	0,003958729
8,8	0,002977021
9	0,002216486
9,2	0,001633824
9,4	0,001192346
9,6	0,000861503
9,8	0,000616266
10	0,000436452
10,2	0,000306029
10,4	0,000212444
10,6	0,00014601
10,8	9,93529E-05
11	6,69321E-05
11,2	4,46421E-05
11,4	2,9479E-05
11,6	1,92725E-05
11,8	1,24744E-05
12	7,9939E-06
12,2	5,07171E-06
12,4	3,18572E-06
12,6	1,98115E-06
12,8	1,21979E-06
13	7,43548E-07
13,2	4,48736E-07
13,4	2,6812E-07
13,6	1,58608E-07
13,8	9,28916E-08
14	5,38625E-08
14,2	3,09209E-08
14,4	1,75742E-08
14,6	9,88911E-09
14,8	5,50928E-09
15	3,03871E-09
