0	15.75
1	3.25
2	2.75
3	12
4	1.78677e-15
5	2.75
6	4.75
7	1.5
8	10
9	1.5
10	11.25
11	21.5
12	17
13	27.75
14	37.75
15	44.25
16	47
17	50.25
18	42.5
19	45.25
20	38
21	26.75
22	22.25
23	28.25
24	30.25
25	38.75
26	43.25
27	52
28	55.5
29	62.25
30	56.25
31	52.5
32	54.5
33	56.25
34	56
35	64
36	65.25
37	74
38	82
39	85
40	77.25
41	76.5
42	70
43	76.25
44	75.25
45	82.75
46	77.5
47	75.75
48	86.25
49	93.75
50	96.75
51	90.25
52	95.5
53	100.25
54	100.25
55	89
56	99
57	102.25
58	93
59	85
60	74.5
61	72.75
62	61
63	53.25
64	56.5
65	45.75
66	52.5
67	56
68	51.25
69	62.25
70	51.5
71	51.25
72	51
73	44.25
74	46.25
75	56.25
76	49.5
77	46.5
78	49.25
79	50
80	53.5
81	47.5
82	45.75
83	49.75
84	38
85	30.5
86	29
87	16.75
88	11.5
89	4.75
90	1.5
91	4.5
92	7.5
93	11.25
94	12
95	23
96	33.25
97	37.75
98	37.25
99	34

